model_revision,task_family,r_semantic_class,r_operation,r_selection_policy,r_scope,r_edit_budget,n,both_correct,broke,recovered,both_wrong,clean_accuracy,perturbed_accuracy,delta,delta_ci_low,delta_ci_high,delta_ci_method,clean_conditioned_failure,retention,discordant_rate,mcnemar_p_value,mcnemar_method,answer_flip_rate,invalid_or_clarification_rate,n_audit_excluded,delta_valid_only,mcnemar_p_valid_only
PIN_ME,mmlu_pro,A,insert,filler_word,anywhere,1,100,29,5,1,65,0.34,0.3,0.040000000000000036,0.009999999999999953,0.10999999999999999,BCa,0.14705882352941177,0.8823529411764705,0.06,0.12499999999999997,exact_midp,0.08,0.0,0,0.040000000000000036,0.12499999999999997
PIN_ME,mmlu_pro,A,insert,filler_word,anywhere,2,100,30,4,2,64,0.34,0.32,0.020000000000000018,-0.020000000000000018,0.07999999999999996,BCa,0.11764705882352941,0.9411764705882353,0.06,0.453125,exact_midp,0.14,0.0,0,0.020000000000000018,0.453125
PIN_ME,mmlu_pro,A,substitute,informative_word,answer_critical,1,100,31,3,1,65,0.34,0.32,0.020000000000000018,-0.010000000000000009,0.07,BCa,0.08823529411764706,0.9411764705882353,0.04,0.375,exact_midp,0.08,0.01,0,0.020202020202020166,0.375
PIN_ME,mmlu_pro,A,substitute,informative_word,answer_critical,2,100,31,3,1,65,0.34,0.32,0.020000000000000018,-0.010000000000000009,0.07,BCa,0.08823529411764706,0.9411764705882353,0.04,0.375,exact_midp,0.09,0.01,0,0.020202020202020166,0.375
PIN_ME,mmlu_pro,A,substitute,keyboard_neighbor,anywhere,1,100,33,1,1,65,0.34,0.34,0.0,-0.02999999999999997,0.02999999999999997,BCa,0.029411764705882353,1.0,0.02,0.4999999999999998,exact_midp,0.06,0.0,0,0.0,0.4999999999999998
PIN_ME,mmlu_pro,A,substitute,keyboard_neighbor,anywhere,2,100,31,3,4,62,0.34,0.35,-0.009999999999999953,-0.06,0.04999999999999999,BCa,0.08823529411764706,1.0294117647058822,0.07,0.7265625000000001,exact_midp,0.14,0.0,0,-0.009999999999999953,0.7265625000000001
PIN_ME,mmlu_pro,A,substitute,keyboard_neighbor,anywhere,4,100,30,4,3,63,0.34,0.33,0.010000000000000009,-0.03999999999999998,0.060000000000000026,BCa,0.11764705882352941,0.9705882352941176,0.07,0.7265625000000001,exact_midp,0.17,0.01,0,0.01010101010101011,0.7265625000000001
PIN_ME,mmlu_pro,A,substitute,keyboard_neighbor,content,1,94,31,2,3,58,0.35106382978723405,0.3617021276595745,-0.010638297872340441,-0.06382978723404253,0.03191489361702127,BCa,0.06060606060606061,1.0303030303030303,0.05319148936170213,0.6875000000000002,exact_midp,0.09574468085106383,0.0,0,-0.010638297872340441,0.6875000000000002
PIN_ME,mmlu_pro,A,substitute,keyboard_neighbor,content,2,94,32,1,4,57,0.35106382978723405,0.3829787234042553,-0.03191489361702127,-0.08510638297872342,0.010638297872340441,BCa,0.030303030303030304,1.0909090909090908,0.05319148936170213,0.21875000000000003,exact_midp,0.13829787234042554,0.0,0,-0.03191489361702127,0.21875000000000003
PIN_ME,mmlu_pro,B,substitute,real_word,anywhere,2,100,29,5,4,62,0.34,0.33,0.010000000000000009,-0.04999999999999999,0.07,BCa,0.14705882352941177,0.9705882352941176,0.09,0.7539062500000002,exact_midp,0.22,0.01,0,0.01010101010101011,0.7539062500000002
PIN_ME,mmlu_pro,B,substitute,real_word,anywhere,3,100,29,5,4,62,0.34,0.33,0.010000000000000009,-0.04999999999999999,0.07,BCa,0.14705882352941177,0.9705882352941176,0.09,0.7539062500000002,exact_midp,0.18,0.0,0,0.010000000000000009,0.7539062500000002
PIN_ME,mmlu_pro,B,substitute,real_word,anywhere,4,100,28,6,2,64,0.34,0.3,0.040000000000000036,0.0,0.10999999999999999,BCa,0.17647058823529413,0.8823529411764705,0.08,0.17968749999999994,exact_midp,0.17,0.0,0,0.040000000000000036,0.17968749999999994
PIN_ME,mmlu_pro,C,substitute,keyboard_neighbor,anywhere,0,100,21,13,12,54,0.34,0.33,0.010000000000000009,-0.08999999999999997,0.10999999999999999,BCa,0.38235294117647056,0.9705882352941176,0.25,0.841480581121794,asymptotic,0.8,0.0,0,0.010000000000000009,0.841480581121794
